"","genes","log2FoldChange","pvalue","sig"
"416","ZNF580",0.0162633927182414,0.42163141888346,"No significant"
"417","LOC642576",0.0105042852422379,0.796428024950838,"No significant"
"418","MC1R",0.0501617905724752,1.4262961610261,"No significant"
"419","IL22RA2",0.00337930971658196,0.138053803826181,"No significant"
"420","USP32",-0.00541884952884342,0.268105944877452,"No significant"
"421","RECQL5",0.00407673343354986,0.198234711827186,"No significant"
"422","DUS1L",0.0304334240789093,1.00597269527921,"No significant"
"423","LOC643697",-0.00309269427838466,0.196627656215932,"No significant"
"424","LOC644975",-0.00198538865045972,0.117425166599566,"No significant"
"425","A26C3",0.0162274307527825,0.680014671864238,"No significant"
"426","TAF12",-0.165616704026194,8.38508969992693,"Down regulated"
